NRP,JUMLAH SKS,JUMLAH ORGANISASI,LAMA BELAJAR,LAMA TIDUR, IPK;;;;;
1213100096,97,2,1,8,2.99;;;;;
1213100083,99,2,1,8,3.28;;;;;
1314100084,56,2,2,5,3.46;;;;;
1314030087,56,3,4,5,3.82;;;;;
3312100082,117,1,3,7,3.26;;;;;
2313030075,70,2,3,7,3.55;;;;;
4214101018,58,1,2,6,3.28;;;;;
4212101006,139,1,2,6,3.64;;;;;
2313030043,70,4,3,4,3.14;;;;;
2414100111,58,8,3,5,2.9;;;;;
2812100110,144,1,2,5,3.4;;;;;
3514100062,56,4,2,4,3.01;;;;;
3213100031,100,0,3,6,3.3;;;;;
3213100037,105,0,3,6,3;;;;;
2412100071,120,2,1,5,2.78;;;;;
2114030040,56,3,4,4,2.4;;;;;
3614100016,60,2,6,5,3.53;;;;;
3612100006,138,3,7,8,3.28;;;;;
3614100015,58,3,3,6,3.48;;;;;
3612100019,138,1,3,8,3.1;;;;;
3613100009,104,4,2,7,3.56;;;;;
3713100011,109,1,4,5,3.26;;;;;
3512100079,135,2,1,5,3;;;;;
3512100042,135,1,1,5,3.3;;;;;
2112100031,131,2,3,4,2.93;;;;;
2112100033,127,2,1,5,3.07;;;;;
2114100150,55,2,2,5,3.4;;;;;
1112100053,86,2,2,5,2.36;;;;;
1114100107,39,1,10,4,3.09;;;;;
1313100077,93,1,3,6,2.94;;;;;
2313100016,93,3,4,4,3.51;;;;;
2314100010,51,2,3,4,3.35;;;;;
1412100091,134,1,3,6,2.96;;;;;
1412100102,134,2,2,5,2.6;;;;;
2714100007,47,2,2,6,3.02;;;;;
2412100048,119,0,3,7,3.4;;;;;
3412100040,117,4,1,7,3.16;;;;;
3813100020,58,1,5,6,3.4;;;;;
2514100035,61,1,2,6,3.46;;;;;
4312100144,124,4,5,9,2.98;;;;;
3514100079,56,3,2,5,3.25;;;;;
1514100073,54,1,4,4,2.7;;;;;
2114100021,57,4,4,6,3.34;;;;;
2512100139,136,4,4,6,3.34;;;;;
2413100080,88,1,1,8,3.18;;;;;
2313100164,100,3,2,5,3.5;;;;;
3414100064,52,2,3,6,2.5;;;;;
3314100702,40,1,7,4,2.77;;;;;
3313100029,80,1,3,8,3.14;;;;;
3313100076,80,1,3,8,3.49;;;;;
3314100056,44,1,3,5,2.63;;;;;
3312100057,140,3,6,6,3.1;;;;;
3113100070,90,3,5,4,3.2;;;;;
3114100044,59,3,1,5,3.5;;;;;
3112100077,140,1,2,5,3.4;;;;;
3113100044,110,2,7,4,3.7;;;;;
3112100062,116,0,3,7,3.1;;;;;
3114100142,56,5,1.5,5,3.3;;;;;
1312100047,141,3,1,4,3.34;;;;;
3714100003,59,1,2,7,3.1;;;;;
3413100080,96,2,10,5,2.8;;;;;
3413100178,96,1,12,2,2.9;;;;;
3414100107,56,11,3,5,3.03;;;;;
2814100017,61,1,1,7,3.6;;;;;
2814100004,64,1,3,8,3.6;;;;;
2712100008,120,2,2,3,3.06;;;;;
2712100142,140,2,2,4,3.37;;;;;
3714100039,58,4,3,4,3.65;;;;;
2512100041,144,1,3,8,3.53;;;;;
2713100040,106,2,4,4,3.83;;;;;
2714100052,56,7,1,4,3.47;;;;;
5212100067,113,1,3,6,3.04;;;;;
2214030036,44,0,4,5,3.03;;;;;
521410016658,4,3,6,3.3;;;;;
5212100142,121,3,6,6,3.27;;;;;
1512100022,140,1,1,8,3.28;;;;;
1512100026,141,2,7,6,3.49;;;;;
1514100002,56,1,4,5,3;;;;;
5113100189,90,3,5,8,3.78;;;;;
2112030009,110,2,3,5,3.52;;;;;
4413100012,101,0,2,8,3.13;;;;;
2413100038,20,2,2,3,3.37;;;;;
2214030051,56,0,1,7,2.67;;;;;
1114100063,58,4,1,5,3.01;;;;;
2713100027,109,1,2,6,3.72;;;;;
4213100032,91,1,3,5,2.6;;;;;
4213100017,105,7,5,5,3.55;;;;;
4214100009,60,2,2,6,3.37;;;;;
4214100093,62,5,2,6,3.42;;;;;
2414100078,54,2,5,5,3.51;;;;;
2314100004,56,2,5,6,3.2;;;;;
4113100058,99,3,1,5,3.51;;;;;
4113100039,91,10,4,7,2.73;;;;;
1413100010,110,4,3,4,3.5;;;;;
1414100107,60,3,9,5,3.2;;;;;
1413100077,81,5,1,4,3.41;;;;;
1414100019,58,4,3,4,3.6;;;;;
2113100072,80,2,3,3,2.5;;;;;
2113100079,81,4,5,5,2.89;;;;;
2213100134,96,5,4,5,3.23;;;;;
2212100042,139,1,1,8,3.05;;;;;
2212100182,137,3,1,8,3.05;;;;;
2214100121,59,2,1,6,3.38;;;;;
2214100004,59,2,1,7,3.34;;;;;
2213100121,96,2,1,4,2.47;;;;;
1112100016,123,4,2,4,2.78;;;;;
1314030006,43,1,2,5,2.02;;;;;
1313030014,101,2,2,3,3.51;;;;;
2914100045,60,3,4,5,3.45;;;;;
